LM_ID,ABBREVIATION,SYNONYMS
LMFA00000001,FA 40:7;O3,Acetylenic acids
LMFA00000002,,
LMFA00000003,,
LMFA00000004,,
LMFA00000005,,
LMFA00000006,,
LMFA00000007,,Decanohydroxamic acid; caprinohydroxamic acid; n-Decanohydroxamic acid
LMFA00000008,,"(9S,10S)-10-hydroxy-9-(phosphonooxy)stearic acid"
LMFA00000009,,
LMFA00000014,,
LMFA00000015,,DDM
LMFA00000016,,"Docosane-1,14-diyl bis(hydrogen sulfate)"
LMFA00000017,,
LMFA00000018,,
LMFA00000019,,
LMFA00000020,,
LMFA00000021,,
LMFA00000022,,
LMFA00000023,,"14-chlorotetracosane-1,15-diyl bis(hydrogen sulfate)"
LMFA00000024,,
LMFA00000025,,
LMFA00000026,,"(Z)-11,12,13,15,16-pentachloro-14-hydroxytetracos-1-enyl hydrogen sulfate"
LMFA00000031,,
LMFA00000034,,
LMFA00000035,,
LMFA00000039,,
LMFA00000043,,
LMFA00000051,,
LMFA00000027,,
LMFA00000028,,
LMFA00000029,,
LMFA00000030,,
LMFA00000032,,
LMFA00000033,,
LMFA00000036,,
LMFA00000037,,
LMFA00000038,,
LMFA00000040,,thio-DMAP
LMFA00000041,,thio-DMAB
LMFA00000042,,DMAB
LMFA00000044,,
LMFA00000045,,
LMFA00000046,,
LMFA00000047,,
LMFA00000048,,
LMFA00000049,,
LMFA00000050,,
LMFA01010001,FA 16:0,Cetylic acid; Palmitate; n-Hexadecanoic acid; C16:0; Aethalic acid 
LMFA01010002,FA 2:0,Vinegar acid; 10.Methanecarboxylic acid; acetate; C2:0
LMFA01010003,FA 3:0,Pseudoacetic acid; propionate;Methylacetic acid; Ethanecarboxylic acid; Ethylformic acid; C3:0
LMFA01010004,FA 4:0,Butanoate; C4:0; Ethylacetic acid
LMFA01010005,FA 5:0,C5:0; Valerianic acid
LMFA01010006,FA 6:0,Capronic acid; C6:0; Butylacetic acid; Pentylformic acid
LMFA01010007,FA 7:0,Enanthic acid; Enanthylic acid; Heptoic acid; C7:0; Enanthoic acid; Oenanthic acid
LMFA01010008,FA 8:0,Octylic acid; C8:0
LMFA01010009,FA 9:0,Nonylic acid; C9:0; Nonoic acid
LMFA01010010,FA 10:0,C10:0; Caprinic acid; Decoic acid; Decylic acid
LMFA01010011,FA 11:0,Hendecanoic acid; C11:0
LMFA01010012,FA 12:0,n-Dodecanoic acid; Dodecanoate; Dodecylic acid; C12:0; Laurostearic acid
LMFA01010013,FA 13:0,C13:0
LMFA01010014,FA 14:0,C14:0
LMFA01010015,FA 15:0,C15:0
LMFA01010017,FA 17:0,Heptadecylic acid; C17:0; Daturic acid; Daturinic acid; Margarinic acid
LMFA01010018,FA 18:0,Cetylacetic acid; Stearate; n-Octadecanoic acid; Octadecanoate; C18:0; Lactaric acid; Talgic acid; Bassinic acid; Stearophanic acid
LMFA01010019,FA 19:0,C19:0
LMFA01010020,FA 20:0,Icosanoic acid; Eicosanoate; Arachidate; n-Eicosanoic acid; C20:0; Arachic acid
LMFA01010021,FA 21:0,Henicosanoic acid; C21:0
LMFA01010022,FA 22:0,C22:0
LMFA01010023,FA 23:0,C23:0
LMFA01010024,FA 24:0,C24:0; Carnaubic acid
LMFA01010025,FA 25:0,C25:0
LMFA01010026,FA 26:0,C26:0; Ceric acid; Ceratinic acid; Cerinic acid; Cerylic acid
LMFA01010027,FA 27:0,C27:0
LMFA01010028,FA 28:0,C28:0
LMFA01010029,FA 29:0,C29:0
LMFA01010030,FA 30:0,C30:0; Myricic acid
LMFA01010031,FA 31:0,C31:0
LMFA01010032,FA 32:0,C32:0; Lacceric acid
LMFA01010033,FA 33:0,Ceromelissic acid; C33:0
LMFA01010034,FA 34:0,Geddic acid; C34:0; Ghedoic acid
LMFA01010035,FA 35:0,C35:0
LMFA01010036,FA 36:0,C36:0
LMFA01010037,FA 37:0,C37:0
LMFA01010038,FA 38:0,C38:0
LMFA01010039,FA 46:0,C46:0
LMFA01010043,,
LMFA01010044,,
LMFA01010045,,
LMFA01010046,,
LMFA01010047,,
LMFA01010048,,
LMFA01010049,,
LMFA01010050,,
LMFA01010051,,
LMFA01010052,,
LMFA01010053,FA 14:0,
LMFA01020001,FA 19:1,
LMFA01020002,FA 9:0,Isopelargonic acid; 6-methyl caprylic acid
LMFA01020003,FA 9:0,7-methyl caprylic acid
LMFA01020004,FA 12:0,10-methyl-hendecanoic acid; Isododecanoic acid
LMFA01020005,FA 13:0,(+)-10-methyl lauric acid
LMFA01020006,FA 13:0,11-methyllauric acid; Isoundecylic acid
LMFA01020007,FA 14:0,12-methyltridecylic acid
LMFA01020008,FA 15:0,12-methyl myristic acid; Anteisopentadecanoic acid
LMFA01020009,FA 15:0,13-methylmyristic acid; Isopentadecanoic acid; Subtilopentadecanoic acid
LMFA01020010,FA 16:0,14-methyl pentadecylic acid; Isohexadecanoic acid
LMFA01020011,FA 17:0,(+)-14-methyl palmitic acid; Anteisomargaric acid
LMFA01020012,FA 17:0,15-methyl palmitic acid; Isomargaric acid; Subtiloheptadecanoic acid; Methylpalmitic acid
LMFA01020013,FA 18:0,
LMFA01020014,FA 18:0,16-methyl margaric acid; Isooctadecanoic acid
LMFA01020015,FA 19:0,10-methylstearic acid; L-(+)-Tuberculostearic acid
LMFA01020016,FA 19:0,(+)-16-methyl stearic acid
LMFA01020017,FA 20:0,
LMFA01020018,FA 21:0,(+)-18-methyl-icosanoic acid; 18-MEA
LMFA01020019,FA 22:0,20-methyl-henicosanoic acid
LMFA01020020,FA 23:0,
LMFA01020021,FA 24:0,
LMFA01020022,FA 26:0,
LMFA01020023,FA 25:0,
LMFA01020024,FA 26:0,
LMFA01020025,FA 27:0,
LMFA01020026,FA 28:0,
LMFA01020027,FA 31:0,Mycocerosic acid; Phthianoic acid
LMFA01020028,FA 31:0,
LMFA01020029,FA 5:1,alpha-methyl isocrotonic acid
LMFA01020030,FA 5:1,"alpha,beta-dimethyl acrylic acid; 2-Methyl-2-butenoic acid; (E)-2-methyl-Crotonic acid"
LMFA01020031,FA 6:1,
LMFA01020032,FA 27:1,Mycolipenic acid
LMFA01020033,FA 21:0,
LMFA01020034,FA 13:0,
